Epoch,Train_Loss,Val_Loss
0,2.087800979614258,2.087347984313965
100,2.0212862491607666,2.0202956199645996
200,1.8756369352340698,1.8737164735794067
300,1.6558116674423218,1.6534420251846313
400,1.4104888439178467,1.407981514930725
500,1.1597645282745361,1.1572952270507812
600,0.9228633046150208,0.9206416606903076
700,0.7164433002471924,0.7145514488220215
800,0.5455163717269897,0.5439918637275696
900,0.4106026589870453,0.409419983625412
1000,0.3082630932331085,0.30738064646720886
1100,0.23226219415664673,0.23161259293556213
1200,0.17619110643863678,0.17569833993911743
1300,0.13485191762447357,0.1344980150461197
1400,0.10439448058605194,0.10412824898958206
1500,0.08190903067588806,0.08171479403972626
1600,0.06519977748394012,0.06505060940980911
1700,0.0526568703353405,0.05254082754254341
1800,0.0431152880191803,0.04303177446126938
1900,0.035768017172813416,0.035697489976882935
2000,0.030009334906935692,0.02995854802429676
2100,0.02544271945953369,0.02540333941578865
2200,0.021772054955363274,0.02173895202577114
2300,0.01878546178340912,0.01875854842364788
2400,0.01632523164153099,0.016303466632962227
2500,0.014281921088695526,0.01426389068365097
2600,0.012567158788442612,0.012550722807645798
2700,0.01111732516437769,0.011103066615760326
2800,0.009879527613520622,0.009869487956166267
2900,0.008820587769150734,0.008809160441160202
